============================================================
  layers = 50
  regime = rich
  lr     = 0.01
  steps  = 20000
============================================================
Loading cached features: outputs/train_features.pt
Loading cached features: outputs/val_features.pt
Model: 50 layer(s), regime=rich
  First layer shape: (100, 2048)
  Initial effective rank: 97.60
Step 14288/20000 | Val Acc 86.82% | Rank 95.86
Step 14326/20000 | Val Acc 86.82% | Rank 95.86
Step 14364/20000 | Val Acc 86.82% | Rank 95.86
Step 14402/20000 | Val Acc 86.82% | Rank 95.86
Step 14440/20000 | Val Acc 86.82% | Rank 95.86
Step 14478/20000 | Val Acc 86.82% | Rank 95.86
Step 14516/20000 | Val Acc 86.82% | Rank 95.86
Step 14554/20000 | Val Acc 86.82% | Rank 95.86
Step 14592/20000 | Val Acc 86.82% | Rank 95.86
Step 14630/20000 | Val Acc 86.82% | Rank 95.86
Step 14668/20000 | Val Acc 86.82% | Rank 95.86
Step 14706/20000 | Val Acc 86.82% | Rank 95.86
Step 14744/20000 | Val Acc 86.82% | Rank 95.86
Step 14782/20000 | Val Acc 86.82% | Rank 95.86
Step 14820/20000 | Val Acc 86.82% | Rank 95.86
Step 14858/20000 | Val Acc 86.82% | Rank 95.86
Step 14896/20000 | Val Acc 86.82% | Rank 95.86
Step 14934/20000 | Val Acc 86.82% | Rank 95.86
Step 14972/20000 | Val Acc 86.82% | Rank 95.86
Step 15010/20000 | Val Acc 86.82% | Rank 95.86
Step 15048/20000 | Val Acc 86.82% | Rank 95.86
Step 15086/20000 | Val Acc 86.82% | Rank 95.86
Step 15124/20000 | Val Acc 86.82% | Rank 95.86
Step 15162/20000 | Val Acc 86.82% | Rank 95.86
Step 15200/20000 | Val Acc 86.82% | Rank 95.86
Step 15238/20000 | Val Acc 86.82% | Rank 95.86
Step 15276/20000 | Val Acc 86.82% | Rank 95.86
Step 15314/20000 | Val Acc 86.82% | Rank 95.86
Step 15352/20000 | Val Acc 86.82% | Rank 95.86
Step 15390/20000 | Val Acc 86.82% | Rank 95.86
Step 15428/20000 | Val Acc 86.82% | Rank 95.86
Step 15466/20000 | Val Acc 86.82% | Rank 95.86
Step 15504/20000 | Val Acc 86.82% | Rank 95.86
Step 15542/20000 | Val Acc 86.82% | Rank 95.86
Step 15580/20000 | Val Acc 86.82% | Rank 95.86
Step 15618/20000 | Val Acc 86.82% | Rank 95.86
Step 15656/20000 | Val Acc 86.82% | Rank 95.86
Step 15694/20000 | Val Acc 86.82% | Rank 95.86
Step 15732/20000 | Val Acc 86.82% | Rank 95.86
Step 15770/20000 | Val Acc 86.82% | Rank 95.86
Step 15808/20000 | Val Acc 86.82% | Rank 95.86
Step 15846/20000 | Val Acc 86.82% | Rank 95.86
Step 15884/20000 | Val Acc 86.82% | Rank 95.86
Step 15922/20000 | Val Acc 86.82% | Rank 95.86
Step 15960/20000 | Val Acc 86.82% | Rank 95.86
Step 15998/20000 | Val Acc 86.82% | Rank 95.86
Step 16036/20000 | Val Acc 86.82% | Rank 95.86
Step 16074/20000 | Val Acc 86.82% | Rank 95.86
Step 16112/20000 | Val Acc 86.82% | Rank 95.86
Step 16150/20000 | Val Acc 86.82% | Rank 95.86
Step 16188/20000 | Val Acc 86.82% | Rank 95.86
Step 16226/20000 | Val Acc 86.82% | Rank 95.86
Step 16264/20000 | Val Acc 86.82% | Rank 95.86
Step 16302/20000 | Val Acc 86.82% | Rank 95.86
Step 16340/20000 | Val Acc 86.82% | Rank 95.86
Step 16378/20000 | Val Acc 86.82% | Rank 95.86
Step 16416/20000 | Val Acc 86.82% | Rank 95.86
Step 16454/20000 | Val Acc 86.82% | Rank 95.86
Step 16492/20000 | Val Acc 86.82% | Rank 95.86
Step 16530/20000 | Val Acc 86.82% | Rank 95.86
Step 16568/20000 | Val Acc 86.82% | Rank 95.86
Step 16606/20000 | Val Acc 86.82% | Rank 95.86
Step 16644/20000 | Val Acc 86.82% | Rank 95.86
Step 16682/20000 | Val Acc 86.82% | Rank 95.86
Step 16720/20000 | Val Acc 86.82% | Rank 95.86
Step 16758/20000 | Val Acc 86.82% | Rank 95.86
Step 16796/20000 | Val Acc 86.82% | Rank 95.86
Step 16834/20000 | Val Acc 86.82% | Rank 95.86
Step 16872/20000 | Val Acc 86.82% | Rank 95.86
Step 16910/20000 | Val Acc 86.82% | Rank 95.86
Step 16948/20000 | Val Acc 86.82% | Rank 95.86
Step 16986/20000 | Val Acc 86.82% | Rank 95.86
Step 17024/20000 | Val Acc 86.82% | Rank 95.86
Step 17062/20000 | Val Acc 86.82% | Rank 95.86
Step 17100/20000 | Val Acc 86.82% | Rank 95.86
Step 17138/20000 | Val Acc 86.82% | Rank 95.86
Step 17176/20000 | Val Acc 86.82% | Rank 95.86
Step 17214/20000 | Val Acc 86.82% | Rank 95.86
Step 17252/20000 | Val Acc 86.82% | Rank 95.86
Step 17290/20000 | Val Acc 86.82% | Rank 95.86
Step 17328/20000 | Val Acc 86.82% | Rank 95.86
Step 17366/20000 | Val Acc 86.82% | Rank 95.86
Step 17404/20000 | Val Acc 86.82% | Rank 95.86
Step 17442/20000 | Val Acc 86.82% | Rank 95.86
Step 17480/20000 | Val Acc 86.82% | Rank 95.86
Step 17518/20000 | Val Acc 86.82% | Rank 95.86
Step 17556/20000 | Val Acc 86.82% | Rank 95.86
Step 17594/20000 | Val Acc 86.82% | Rank 95.86
Step 17632/20000 | Val Acc 86.82% | Rank 95.86
Step 17670/20000 | Val Acc 86.82% | Rank 95.86
